"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","864","Login with invalid username","","2026-06-25","passed","2026-06-25","","SauceDemo Login Tests","",""
"","2188","Login with valid credentials","","2026-06-25","passed","2026-06-25","","SauceDemo Login Tests","",""
"","862","Login with locked out user","","2026-06-25","passed","2026-06-25","","SauceDemo Login Tests","",""
"","151","Login with empty username and password","","2026-06-25","passed","2026-06-25","","SauceDemo Login Tests","",""
"","853","Login with invalid password","","2026-06-25","passed","2026-06-25","","SauceDemo Login Tests","",""
